"","2199815454","7071524730","9355532901","9733049784","9735387512"
"920630603",32.9,48.6,52.4,52.2,61.6
"920260702",40.8,27.7,67.5,25.8,50.2
"930100204",93.1,63.1,107.9,59.2,57.2
"751062306",33.1,24.2,50.2,30.3,7.3
"751114112",58.5,30,75.7,28.5,23.2
"930570104",102.4,71.2,119.5,67.3,68.8
"781900102",61.6,64.9,74.4,67,85.2
"920730105",28.2,43.5,48,47.1,56.6
"751145301",39.4,32.6,51.1,38.2,6.6
"751124512",64.3,41.7,77.7,42.9,27.6
"786400107",45.1,77.9,17.9,86.8,70
"751176512",39.2,9.8,66.8,10.8,33.5
"920720102",20,53.5,17.6,62.4,48.9
"920630801",39.5,48.1,59.3,50.3,62.3
"940580113",98.6,75.4,111.5,75,62.6
"751135124",45.8,37.7,56.3,42.3,11.7
"930080119",83.5,52.2,103.5,48.4,51.2
"751187014",53.9,20.6,77.1,12.3,26.8
"940280102",88,71.9,93.1,76.2,53.4
"920500203",39.6,44.8,59.4,47,62.1
"940810102",71,66.3,69.1,70.9,42.4
"751187003",50.2,17.6,73.6,13.2,26.4
"751124622",56.7,34.2,70.6,36.1,20.2
"751207802",64.4,38.7,79.4,38.3,28.5
"930480204",70.3,47.8,84.8,47.7,34.4
"751187207",63.2,31.2,83.6,23,32
"950180801",81.6,57.3,108.2,45.4,77.8
"940160103",49.3,56.3,47.1,62.3,31.5
"930481101",89,65.9,103.5,64.1,53.1
"940580107",100.4,77.3,113.3,76.8,64.5
"920040103",49.8,26.9,77.9,18.9,48
"930630106",76.4,48.6,91.1,46.4,40.5
"781580103",54.2,81,54.1,84.6,87.1
"751145604",27.6,33.3,40.6,42.6,16.4
"751197507",64.5,33.9,81.7,30.7,29.2
"930720111",88.5,55.3,109.4,42.5,57.9
"940690101",71.8,53.2,78.8,55.1,35.1
"930660403",87.6,54.3,108.4,41.8,56.8
"751207813",65,37,81.8,36.2,29.1
"751207809",65.5,38.6,82.3,37.8,29.6
"751197510",67.6,37.1,84.7,33.7,32.3
"751145516",36,30.6,48.5,36.2,7.3
"940680802",90,73.2,96.2,75.1,54.9
"920630401",40.7,58.7,55,62.3,71.8
"920490108",41.2,50.1,47.9,57,26.6
"920480206",16.5,47.3,18.2,56.2,39.8
"751187004",50.1,17.5,74.1,13.1,27.2
"751207709",60.9,31.2,78,29,25.6
"920600110",33.1,58,16.8,67.6,40.6
"940430107",50.7,54.6,54.2,59.2,28.6
"751145601",29.8,35.7,40.6,44.4,16.2
"930290501",94.8,63.6,114.9,57,62.5
"781900101",63.3,70.3,74.7,72.4,90.6
"920490111",33.4,43.1,37.5,49.9,19.6
"930500110",107.3,84.2,121.8,82,71.4
"955850120",97.2,66,124.1,52.7,72.8
"940780101",101.5,96.4,93.9,100.8,72.8
"783580103",89.5,78.2,113,72.5,100.2
"786460503",44.3,75.3,42.5,79.7,77.6
"751166110",15.1,26.4,43.8,34.4,32.3
"930060112",71.1,45.8,85.8,44.5,35.2
"751187202",56.3,24.1,77.7,17.8,26.2
"930710120",116.2,84.9,133.6,81.1,82.9
"940280202",91.9,75.8,91.1,80.1,57.3
"751166128",19.3,24.6,44.8,33,27
"751156012",19.9,25.1,41.7,34.7,23.1
"950180303",65.6,48.4,92,39.7,69.3
"751155703",25.6,30.4,39.1,39.7,17.4
"930660401",84.8,52.1,107.1,38.8,55.5
"751030905",50,22.8,67.1,24.2,15.5
"751197607",60.3,30.1,77.4,28,25.5
"950180204",71.1,46.8,97.8,35,67.4
"940770104",94.2,90.8,85.6,95.4,65.6
"781460105",59.6,62.9,78.4,64.3,83.2
"920400502",10.3,41.1,23.7,50,36
"751166210",23,18.4,50.2,25.5,29.6
"930070117",102,70.7,121.1,62.5,69.7
"930080115",88.2,56.9,108.2,49.9,55.9
"955820109",89.7,65.4,116.4,53.6,86
"751176816",48.9,16.8,75.6,3.4,33.9
"930050302",104.6,73.4,122,69.5,71.3
"930100202",93.8,62.6,111.2,58.7,60.5
"940040101",108.1,92,107.4,96.3,73.5
"786400110",42.2,74.7,13.6,83.6,65.6
"751155911",24.6,22.5,45.9,32.6,17.6
"940810302",56.5,52.5,62.8,57.1,27.2
"920500802",50.6,47.1,70.5,48.7,67.4
"751166206",20.5,21.6,49.1,29.6,30.7
"940430108",48.7,48.8,52.6,53.5,22.5
"940280301",84.9,68.8,89.9,71.8,50.3
"940800306",79.1,56.5,92.5,57.1,43
"930140111",118.5,87.3,135.8,83.4,85.1
"930490103",101.8,78.6,116.2,76.8,65.8
"930640106",97.1,73.1,111.6,70.8,61.2
"920020201",59.6,77.8,39.8,85.5,54.6
"940410302",62.9,49.5,69.8,53.8,28.9
"751072503",33.9,20.4,52.5,27.4,10.6
"751072803",32,15.8,53.1,26.6,17.1
"920620301",34,32.2,57.7,34.4,51.8
"940040103",112.7,96.6,109.7,100.9,78.1
"930270117",82.3,50.5,102.6,40.2,51.1
"751145306",35.1,26.9,48.6,33.7,8
"920400204",13.7,37.1,29.3,46.6,28.7
"940680108",99.6,83.2,104.6,85.6,64.7
"930060103",69.7,44.5,84.4,44.1,33.8
"940810305",58.6,54.6,64.5,59.2,29.3
"940540103",84,80.6,75.7,85.2,55.4
"930100101",98.2,67,115.6,63.1,64.9
"751166115",17.5,26.6,42.2,35.6,28.5
"955980106",99.2,69.6,127.4,55.4,85.3
"920070104",38.5,48.3,39.2,55,24.1
"920220104",25.5,60.2,20.3,68.2,55.7
"940410211",56,46.7,62.7,51.2,23.1
"930570105",102.9,71.6,118.2,67.8,67.6
"952880101",98.8,67.9,126,54.5,79.3
"751155707",25.4,32.1,42.5,43,20.9
"950180403",69.7,54.7,96.2,46,75.6
"930310102",82.3,52.7,110.4,38.4,65
"920140102",44.1,61.5,30.6,68.4,37.6
"920040403",50.5,23.4,78.7,15.2,44.3
"751166308",29,12.3,55.2,19.7,28.5
"751155907",22,21.4,45.2,30.9,21.1
"751197303",59,27.8,79.3,24.5,27.8
"913770113",64.1,88.5,38.6,97.9,69.5
"930060114",73.1,47.5,87.8,45.3,37.2
"785860102",78.6,67.3,99.1,61.5,89.3
"920480202",14.5,48.8,21.5,57.8,44.3
"751155908",21.6,20.8,44.9,30.4,20.9
"920620101",42.1,31.1,68.5,31.6,51.4
"751145511",35.7,33,46.8,39.5,8.9
"920020107",56.1,74.3,35.5,82.2,51.3
"751114202",60.2,32.7,77,32.3,24.3
"920040104",50.3,28.7,77.4,21.3,50.4
"920460109",28.8,44.9,32,54.3,29.1
"751114310",52.5,30,68.3,31.5,16.6
"930010801",71,39.3,91.3,29,39.8
"920260705",42.2,27.8,68.9,26.3,50.2
"751114201",59.2,31.4,76,31,23.3
"751187017",54.6,21.3,76.8,13.8,26.5
"781460109",54.1,57.4,72.9,59.6,77.7
"940280403",95.8,79.7,98,84,61.2
"940810211",61.5,63.5,60.8,68.1,37.5
"780920104",54.1,72,61.6,74.2,87
"751145308",35.9,27,50.2,33.5,6.9
"751155731",27.1,25.5,42.8,36.4,14.6
"952770303",112.3,79.1,133.2,66.3,81.7
"781260110",45.7,70.5,54.4,74.1,78.6
"920730116",31.2,32.2,54.9,35.8,51.1
"920460104",26.4,40.1,33,49.5,23.2
"920510407",36.5,19.8,64.7,19.1,42.2
"930070105",95,63.4,115.4,53.1,63.8
"940171303",114.2,94.6,121.9,95.9,78.6
"920400501",18.6,45,31.6,54,37.5
"751156007",19.3,27.7,40.1,37.3,23.1
"930460103",109.4,78.2,126.8,74.3,76.1
"930080116",88.3,57.1,108.4,50,56
"781240103",65.9,61.1,84.6,55.3,83.1
"920770104",23.6,55.3,28.8,60,56.9
"930630103",80,50.4,95.3,46.9,44.2
"940410202",50.5,45.7,57.7,50.3,20.4
"930661103",62.2,28.9,86,18.5,34.5
"751208014",60.6,38.1,75.1,38.8,24.7
"930590109",86.1,53.4,111.5,40.1,60.2
"920460101",28.6,37.1,38.5,45.8,19
"751197615",62.5,31.3,82.9,27.4,31.3
"940380105",50.7,62.1,39.1,68,37.1
"751124609",59.6,39.8,70.9,41.9,23
"920480201",17.2,50.1,19.3,59,45.6
"751156019",24.7,26.2,46.2,35.8,21.5
"930050204",115.4,83.8,135.7,73.4,84.2
"751135106",45.7,40.8,55.4,45.4,14.8
"930070106",98.5,66.9,118.8,56.6,67.3
"930660705",78,44.7,100.9,32.3,49.4
"783110301",67.9,56.6,91.2,50.8,78.6
"751197401",67.9,36.7,88.3,28.3,36.7
"930290603",96.1,64.9,116.4,55.6,64.6
"751176515",37.7,11.7,65.8,10.2,35.5
"751145505",32.6,33.3,44.8,41.5,11.2
"751135010",50.4,41.7,60.9,46.3,17.5
"950180902",79.3,55,106,43.2,75.6
"930290802",83.1,51.7,103.4,41.4,51.9
"920710102",42.8,61.9,22.3,71.3,42.8
"751176811",49,15.5,74.2,4.3,32.4
"920250402",54.5,43.2,81,37.5,65.2
"920120604",7.3,34,36.2,41.5,36.6
"940750101",124.9,108.8,118.2,113.1,90.3
"930050803",120.4,89.2,137.8,80.7,87.1
"920040304",52.6,25.5,80.7,12.7,45.1
"920510404",39.8,20.7,68,19.9,43.2
"751156017",22.3,24.2,43.7,33.7,21.1
"940380102",57.3,71.2,41.8,77.1,46.3
"751176705",44.6,11.4,68.7,7,27.7
"751145615",31.6,29.8,44.8,37.8,11.3
"751124605",59.7,39.9,71,42.7,23.1
"783580106",82.7,71.4,106.2,65.7,93.4
"930720107",90.8,58.1,113.3,44.8,61.7
"751135119",44.4,37.3,54.6,42.7,11
"920200103",27.2,43.3,30.3,52.7,27.5
"930100105",101.3,70,118.7,66.2,68
"751208023",62.4,39.8,77.1,39.5,26.5
"913770114",67.4,89.3,41.9,98.7,69.3
"940160109",43.9,55,38.3,61,30.1
"920200106",25.3,46.9,25.9,56.5,32.4
"930490102",103.6,79,118,75.2,67.7
"930661004",76.1,45.2,103.3,31.8,56.6
"920510405",39.2,16.9,67.4,16.1,39.4
"751103708",54,22.7,75.2,19.6,23.6
"940760108",55.2,57.2,57.9,61.8,31.2
"955550107",93,65.7,119.7,51.4,81.4
"751156013",19.8,24.3,43,33.9,22.8
"751135121",45.6,38.7,56.1,43.5,12.3
"940170301",92.2,72.5,99.9,73.9,56.5
"940730105",69.5,73.5,60.1,78.1,47.5
"940800101",74.5,52,87.4,53.3,37.9
"920500804",50.4,51,70.2,53.1,71.3
"786460402",51.6,83.7,41.5,88.3,84.6
"940110102",96.2,80.1,99.8,84.4,61.6
"751155708",23.7,32.5,42.8,42.4,22.8
"930480302",75.3,52.1,89.7,51.7,39.3
"940670103",67.2,44.7,81.3,45.6,30.9
"920120705",10.6,32.5,38.8,38.2,39.6
"751062307",33.3,22.7,50.4,28.9,6.9
"920070107",38,50.9,34.1,57.6,26.7
"930700102",61,28.4,86.5,15,41.4
"916910107",119.6,106.1,112,110.4,87.6
"786460102",42.9,76.8,34.6,81.5,74.6
"930010302",78.4,47.2,98.8,37.2,47.2
"930480102",69.2,46.7,83.7,47.4,33.3
"940730106",72.1,75,62.7,79.6,49
"920250211",60.3,40,86.8,31.3,60.9
"751114205",54.4,28.8,71.3,28.3,18.5
"751114103",59.2,30.6,76.3,30.2,23.9
"930310103",81,51.4,109.2,37.2,67
"940410103",55.9,49.8,62.2,54.4,24.8
"955390107",105.7,74.8,133,61.5,82.3
"940780105",106.3,95.4,98.7,99.7,77
"751103905",51.8,21,69,21.6,17.4
"920360101",65.8,39.8,93.9,25.6,58
"920090108",52.7,29.7,80.9,21.5,50.5
"751124511",65.3,42.8,78.6,44.2,28.7
"785860501",79,67.8,103.7,62,89.8
"920490107",32.2,40.1,38.9,46.9,16.5
"940180109",62.2,45.6,71.8,49.9,27.3
"930290702",90.6,59.3,110.9,49.4,59.4
"930130106",89.6,58.3,110,47.9,58.4
"930310303",84.2,54.6,112.3,40.4,72
"940430106",47.8,53.5,50.8,58.9,27.1
"751187010",54.4,21.1,77.7,12.8,27.3
"940760105",51.8,56.8,55.3,61.4,30.8
